Time and date,Fp1,Fp2,F3,F4,T7,T8,F7,F8,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Battery,Event
[11:46:00.000 29/11/2023],-236434.1,-188947.4,-216849,-262866.5,-242618.8,-212173.5,-241336.2,-243257.4,0.05,-0.02,1.02,-4,-2,-4,99,0
[11:46:00.004 29/11/2023],-236474.3,-188988.5,-216881.7,-262900.8,-242654.6,-212201.7,-241370.5,-243284.8,0.05,-0.02,1.02,-4,-2,-4,99,0
[11:46:00.008 29/11/2023],-236473.1,-188982.9,-216884.4,-262906.6,-242654.7,-212157.9,-241372.4,-243289,0.05,-0.02,1.02,-4,-2,-4,99,0
[11:46:00.012 29/11/2023],-236435.8,-188949,-216848.8,-262876.8,-242626.4,-212128,-241343.8,-243266.8,0.05,-0.02,1.02,-4,-2,-4,99,0
[11:46:00.016 29/11/2023],-236455.4,-188969.1,-216861.4,-262882.4,-242641.7,-212166.6,-241354,-243277.8,0.05,-0.02,1.02,-4,-2,-4,99,0
[11:46:00.020 29/11/2023],-236502.4,-189011.9,-216909.7,-262908.8,-242651.5,-212205.6,-241387.8,-243290.4,0.05,-0.02,1.02,-4,-2,-4,99,0
[11:46:00.024 29/11/2023],-236478.2,-188991.7,-216901.2,-262908.8,-242653.5,-212244.9,-241378.3,-243290.1,0.05,-0.02,1.02,-4,-2,-4,99,0
[11:46:00.028 29/11/2023],-236432.7,-188947.2,-216865.3,-262872.7,-242610.7,-212150.6,-241344.1,-243279.6,0.05,-0.02,1.02,-4,-2,-4,99,0
[11:46:00.032 29/11/2023],-236457,-188962.8,-216890.1,-262884.1,-242644.6,-212153.3,-241360.3,-243287.3,0.05,-0.02,1.02,-4,-2,-4,99,0
[11:46:00.036 29/11/2023],-236434.1,-188947.4,-216849,-262866.5,-242618.8,-212173.5,-241336.2,-243257.4,0.05,-0.02,1.02,-4,-2,-4,99,0
[11:46:00.040 29/11/2023],-236474.3,-188988.5,-216881.7,-262900.8,-242654.6,-212201.7,-241370.5,-243284.8,0.05,-0.02,1.02,-4,-2,-4,99,0
[11:46:00.044 29/11/2023],-236473.1,-188982.9,-216884.4,-262906.6,-242654.7,-212157.9,-241372.4,-243289,0.05,-0.02,1.02,-4,-2,-4,99,0
[11:46:00.048 29/11/2023],-236435.8,-188949,-216848.8,-262876.8,-242626.4,-212128,-241343.8,-243266.8,0.05,-0.02,1.02,-4,-2,-4,99,0
[11:46:00.052 29/11/2023],-236455.4,-188969.1,-216861.4,-262882.4,-242641.7,-212166.6,-241354,-243277.8,0.05,-0.02,1.02,-4,-2,-4,99,0
[11:46:00.056 29/11/2023],-236502.4,-189011.9,-216909.7,-262908.8,-242651.5,-212205.6,-241387.8,-243290.4,0.05,-0.02,1.02,-4,-2,-4,99,0
[11:46:00.060 29/11/2023],-236478.2,-188991.7,-216901.2,-262908.8,-242653.5,-212244.9,-241378.3,-243290.1,0.05,-0.02,1.02,-4,-2,-4,99,0
[11:46:00.064 29/11/2023],-236432.7,-188947.2,-216865.3,-262872.7,-242610.7,-212150.6,-241344.1,-243279.6,0.05,-0.02,1.02,-4,-2,-4,99,0
[11:46:00.068 29/11/2023],-236457,-188962.8,-216890.1,-262884.1,-242644.6,-212153.3,-241360.3,-243287.3,0.05,-0.02,1.02,-4,-2,-4,99,0
[11:46:00.072 29/11/2023],-236516.1,-189013.8,-216948,-262913.6,-242685.1,-212254.5,-241400.4,-243302.1,0.05,0.00,1.02,-4,-2,-4,99,0
[11:46:00.076 29/11/2023],-236522.7,-189015.5,-216959.9,-262928.3,-242695.8,-212274.6,-241409.9,-243306.5,0.05,0.00,1.02,-4,-2,-4,99,0
[11:46:00.080 29/11/2023],-236452.3,-188953.3,-216898.3,-262893.4,-242674.3,-212200.1,-241354.4,-243283,0.05,0.00,1.02,-4,-2,-4,99,0
[11:46:00.084 29/11/2023],-236438.5,-188942.6,-216886.5,-262883.5,-242650.9,-212185.2,-241346,-243283.8,0.05,0.00,1.02,-4,-2,-4,99,0
[11:46:00.088 29/11/2023],-236482.8,-188982.3,-216931.8,-262900,-242646.1,-212197.8,-241380.4,-243292.3,0.05,0.00,1.02,-4,-2,-4,99,0
[11:46:00.092 29/11/2023],-236498.6,-188999.1,-216953,-262923.6,-242671.5,-212278.4,-241395.2,-243299.6,0.05,0.00,1.02,-4,-2,-4,99,0
[11:46:00.096 29/11/2023],-236452.6,-188950.3,-216919.5,-262896.2,-242646.5,-212216.7,-241357.7,-243275.8,0.05,0.00,1.02,-4,-2,-4,99,0
[11:46:00.100 29/11/2023],-236453.8,-188951.9,-216927.2,-262884.2,-242640.4,-212200,-241362.9,-243277.4,0.05,0.00,1.02,-4,-2,-4,99,0
