Time and date,Fp1,Fp2,F3,F4,T7,T8,F7,F8,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Battery,Event
[15:14:00.000 29/11/2023],-139410.4,-66969,-101759.3,-156071.3,-80705.84,-106637.3,-136077.2,-102016.6,0.05,0.00,1.00,-4,-2,-4,87,0
[15:14:00.004 29/11/2023],-139398.7,-66942.98,-101738.4,-156057.6,-80678.04,-106631.6,-136080.5,-101994,0.05,0.00,1.00,-4,-2,-4,87,0
[15:14:00.008 29/11/2023],-139405.4,-66988.35,-101739,-156068.8,-80728.69,-106635.5,-136096.5,-102000.9,0.05,0.00,1.00,-4,-2,-4,87,0
[15:14:00.012 29/11/2023],-139394,-67012.49,-101750.9,-156076,-80727.7,-106627.7,-136088.2,-101991,0.05,0.00,1.00,-4,-2,-4,87,0
[15:14:00.016 29/11/2023],-139388.3,-66998.91,-101750,-156065.5,-80720.28,-106616.8,-136081.6,-102002.1,0.05,0.00,1.00,-4,-2,-4,87,0
[15:14:00.020 29/11/2023],-139396.9,-66980.27,-101754.8,-156076.6,-80723.32,-106618.3,-136078.6,-101998.5,0.05,0.00,1.00,-4,-2,-4,87,0
[15:14:00.024 29/11/2023],-139402.5,-66978.16,-101752.6,-156096.8,-80703.02,-106615.3,-136090.7,-101995.6,0.05,0.00,1.00,-4,-2,-4,87,0
[15:14:00.028 29/11/2023],-139381.9,-66988,-101746.5,-156087.6,-80709.51,-106603.4,-136072.7,-102015.2,0.05,0.00,1.00,-4,-2,-4,87,0
[15:14:00.032 29/11/2023],-139373.1,-66993.72,-101745,-156044.9,-80724.4,-106602.4,-136070.4,-101981,0.05,0.00,1.00,-4,-2,-4,87,0
[15:14:00.036 29/11/2023],-139380.2,-67030.06,-101762.7,-156063.4,-80702.53,-106629.5,-136090.6,-101979.5,0.03,0.00,1.00,-4,-2,-4,87,0
[15:14:00.040 29/11/2023],-139380.8,-67035.38,-101742.6,-156085.9,-80703.02,-106633.1,-136081.2,-101981,0.03,0.00,1.02,-4,-2,-4,87,0
[15:14:00.044 29/11/2023],-139362.5,-67030.15,-101740.3,-156081,-80696.77,-106624.3,-136073.1,-101962,0.03,0.00,1.02,-4,-2,-4,87,0
[15:14:00.048 29/11/2023],-139342.6,-67036.95,-101729.1,-156062.4,-80688.54,-106633.9,-136075.2,-101961.5,0.03,0.00,1.02,-4,-2,-4,87,0
[15:14:00.052 29/11/2023],-139346.7,-67022.87,-101739.7,-156063.6,-80711.66,-106653.8,-136068.8,-101946.4,0.03,0.00,1.02,-4,-2,-4,87,0
[15:14:00.056 29/11/2023],-139351.3,-67057.73,-101748.8,-156101.4,-80727.7,-106648.3,-136074.9,-101945.7,0.03,0.00,1.02,-4,-2,-4,87,0
[15:14:00.060 29/11/2023],-139359.5,-67087.69,-101773.7,-156092.8,-80710.58,-106641.4,-136069.2,-101961.8,0.03,0.00,1.02,-4,-2,-4,87,0
